anime_id,title,title_japanese,episodes,aired_from,tags,image_url,image_path
6676,Asura Cryin&#039; 2,アスラクライン 2,13,2009-10-01,light novel pg-13 - teen 13 or older sevenarc action supernatur mecha,https://myanimelist.cdn-dena.com/images/anime/9/50897.jpg,posters/6676.jpg
1902,Happiness!: Watarase Jun no Kareinaru Ichinichi,はぴねす! 渡良瀬準の華麗なる一日,1,2007-01-25,visual novel pg-13 - teen 13 or older artland comedi fantasi,https://myanimelist.cdn-dena.com/images/anime/5/58187.jpg,posters/1902.jpg
360,Himiko-den,火魅子伝,12,1999-01-07,game pg-13 - teen 13 or older grouptac adventur supernatur drama fantasi,https://myanimelist.cdn-dena.com/images/anime/8/80544.jpg,posters/360.jpg
278,Viewtiful Joe,ビューティフル ジョー,51,2004-10-02,game pg-13 - teen 13 or older grouptac action sci-fi comedi shounen,https://myanimelist.cdn-dena.com/images/anime/1/278.jpg,posters/278.jpg
30751,Usavich Zero,ウサビッチZERO,13,2015-04-10,origin pg-13 - teen 13 or older kanabangraph comedi,https://myanimelist.cdn-dena.com/images/anime/11/73969.jpg,posters/30751.jpg
431,Howl no Ugoku Shiro,ハウルの動く城,1,2004-11-20,novel g - all age studiogh adventur drama fantasi romanc,https://myanimelist.cdn-dena.com/images/anime/5/75810.jpg,posters/431.jpg
24373,Bakabon Osomatsu no Karee wo Tazunete Sansenri,バカボン・おそ松のカレーをたずねて三千里,1,1991-10-19,origin pg-13 - teen 13 or older studiopierrot comedi,https://myanimelist.cdn-dena.com/images/anime/3/62947.jpg,posters/24373.jpg
2238,Fuyu no Semi,冬の蝉,3,2007-02-23,manga r+ - mild nuditi venet drama histor romanc samurai yaoi,https://myanimelist.cdn-dena.com/images/anime/1/2443.jpg,posters/2238.jpg
14181,Oedo wa Nemurenai!,お江戸はねむれない,1,1993-07-23,manga pg-13 - teen 13 or older madhous fantasi histor drama shoujo,https://myanimelist.cdn-dena.com/images/anime/7/39103.jpg,posters/14181.jpg
2758,Shippuu! Iron Leaguer,疾風！ アイアンリーガー,52,1993-04-06,origin pg-13 - teen 13 or older sunris sci-fi sport mecha shounen,https://myanimelist.cdn-dena.com/images/anime/7/3721.jpg,posters/2758.jpg
411,Gun x Sword,ガン×ソード,26,2005-07-04,origin pg-13 - teen 13 or older aica.s.t.a. action adventur drama mecha sci-fi shounen,https://myanimelist.cdn-dena.com/images/anime/3/25380.jpg,posters/411.jpg
30091,Chaos Dragon: Sekiryuu Seneki,ケイオスドラゴン 赤竜戦役,12,2015-07-02,game r - 17+ (violenc & profanity) silverlink. connect action fantasi supernatur,https://myanimelist.cdn-dena.com/images/anime/10/74375.jpg,posters/30091.jpg
34825,Keppeki Danshi! Aoyama-kun,潔癖男子！青山くん,12,2017-07-03,manga pg-13 - teen 13 or older studiohibari comedi seinen sport,https://myanimelist.cdn-dena.com/images/anime/9/86644.jpg,posters/34825.jpg
1660,Kurogane Communication,鉄コミュニケイション,24,1998-10-05,manga r+ - mild nuditi appp action sci-fi adventur drama,https://myanimelist.cdn-dena.com/images/anime/5/25228.jpg,posters/1660.jpg
2336,Hikaru no Go: New Year Special,ヒカルの碁 お正月スペシャル,1,2002-01-01,manga g - all age studiopierrot game comedi supernatur shounen,https://myanimelist.cdn-dena.com/images/anime/11/60751.jpg,posters/2336.jpg
36101,Watashi ga Nakou Hototogisu,わたしが鳴こうホトトギス,1,2017-04-02,music pg-13 - teen 13 or older onionskin music,https://myanimelist.cdn-dena.com/images/anime/3/87236.jpg,posters/36101.jpg
27911,Anime de Wakaru Shinryounaika,アニメで分かる心療内科,20,2015-02-13,manga pg-13 - teen 13 or older shin-eianim comedi seinen,https://myanimelist.cdn-dena.com/images/anime/4/69621.jpg,posters/27911.jpg
18343,Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza,ガールズ＆パンツァー 不肖・秋山優花里の戦車講座,6,2012-12-21,origin pg-13 - teen 13 or older acta militari school,https://myanimelist.cdn-dena.com/images/anime/2/49297.jpg,posters/18343.jpg
4209,Mission-E,MISSION-E,12,2008-07-08,origin pg - children studiodeen action comedi school sci-fi,https://myanimelist.cdn-dena.com/images/anime/11/9006.jpg,posters/4209.jpg
10048,Fuyu no Semi Special,冬の蝉 ~特別編集版~,1,2008-03-26,manga r+ - mild nuditi venet action militari histor drama samurai yaoi,https://myanimelist.cdn-dena.com/images/anime/9/27755.jpg,posters/10048.jpg
2870,Yagami Yuu,八神優 (アニメ),1,2006-12-21,visual novel rx - hentai flavorssoft hentai,https://myanimelist.cdn-dena.com/images/anime/5/26909.jpg,posters/2870.jpg
33278,Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi,秦时明月特别篇《帝子降兮》,1,2015-02-13,novel pg-13 - teen 13 or older sparklykeyanimationstudio action histor martialart fantasi,https://myanimelist.cdn-dena.com/images/anime/10/79965.jpg,posters/33278.jpg
375,Bannou Bunka Neko-Musume (1998),万能文化猫娘,12,1998-01-07,origin pg-13 - teen 13 or older productionre action adventur comedi mecha sci-fi seinen,https://myanimelist.cdn-dena.com/images/anime/10/2875.jpg,posters/375.jpg
33490,Kaitou Joker 4th Season,怪盗ジョーカー シーズン,13,2016-10-03,manga pg - children shin-eianim adventur mysteri comedi shounen,https://myanimelist.cdn-dena.com/images/anime/13/80551.jpg,posters/33490.jpg
3258,Lily C.A.T.,LILY-C.A.T.,1,1987-09-01,origin pg-13 - teen 13 or older studiopierrot space horror sci-fi,https://myanimelist.cdn-dena.com/images/anime/12/5157.jpg,posters/3258.jpg
33758,Wu Geng Ji,武庚纪,30,2016-06-24,manga pg-13 - teen 13 or older sparklykeyanimationstudio action histor supernatur martialart fantasi,https://myanimelist.cdn-dena.com/images/anime/10/81426.jpg,posters/33758.jpg
23555,Neko no Dayan,猫のダヤン,52,2014-04-26,novel g - all age kachidokistudio kid magic,https://myanimelist.cdn-dena.com/images/anime/5/60755.jpg,posters/23555.jpg
